timestamp;energy_used;solar_produced
1580385600;3.315;1.18
1580389200;2.073;0.69
1580392800;1.454;0.14
1580396400;1.841;0.08
1580400000;4.845;0
1580403600;2.831;0
1580407200;1.523;0
1580410800;1.687;0
1580414400;3.165;0
1580418000;4.209;0
1580421600;1.521;0
1580425200;1.424;0
1580428800;1.846;0
1580432400;3.23;0
1580436000;2.42;0
1580439600;1.405;0
1580443200;1.509;0
1580446800;3.063;0
1580450400;4.161;0
1580454000;2.32;0.02
1580457600;2.301;0.16
1580461200;3.889;0.35
1580464800;3.547;0.41
1580468400;2.161;0.51
1580472000;2.351;0.49
1580475600;1.427;0.53
1580479200;3.266;0.26
1580482800;3.424;0.07
1580486400;2.142;0
1580490000;3.23;0
1580493600;2.698;0
1580497200;2.988;0
1580500800;1.949;0
1580504400;1.462;0
1580508000;1.18;0
1580511600;2.964;0
1580515200;3.059;0
1580518800;1.406;0
1580522400;1.405;0
1580526000;2.158;0
1580529600;3.232;0
1580533200;2.003;0
1580536800;1.403;0
1580540400;1.249;0
1580544000;3.739;0.16
1580547600;4.621;0.46
1580551200;3.738;0.62
1580554800;1.222;1.31
1580558400;1.984;1.84
1580562000;2.969;1.6
1580565600;2.057;1.42
1580569200;1.625;0.69
1580572800;1.573;0.02
1580576400;3.308;0
1580580000;2.825;0
1580583600;1.536;0
1580587200;2.836;0
1580590800;3.567;0
1580594400;3.327;0
1580598000;3.003;0
1580601600;3.375;0
1580605200;2.881;0
1580608800;1.454;0
1580612400;1.523;0
1580616000;2.877;0
1580619600;3.249;0
1580623200;1.466;0
1580626800;1.61;0.01
1580630400;3.163;0.06
1580634000;6.316;0.22
1580637600;4.53;0.3
1580641200;2.685;0.32
1580644800;2.02;0.51
1580648400;3.663;0.61
1580652000;2.135;0.32
1580655600;2.324;0.3
1580659200;3.658;0.01
1580662800;4.053;0
1580666400;4.595;0
1580670000;2.014;0
1580673600;1.347;0
1580677200;2.486;0
1580680800;3.375;0
1580684400;1.471;0
1580688000;1.412;0
1580691600;2.235;0
1580695200;3.308;0
1580698800;1.933;0
1580702400;1.43;0
1580706000;1.942;0
1580709600;4.778;0
1580713200;3.547;0.13
1580716800;1.847;0.47
1580720400;1.229;1.18
1580724000;2.872;1.8
1580727600;2.512;2.56
1580731200;1.337;2.03
1580734800;1.205;1.32
1580738400;2.067;0.65
1580742000;3.362;0.23
1580745600;2.781;0.01
1580749200;2.247;0
1580752800;4.031;0
1580756400;4.229;0
1580760000;2.443;0
1580763600;1.652;0
1580767200;1.644;0
1580770800;3.105;0
1580774400;3.263;0
1580778000;1.434;0
1580781600;1.717;0
1580785200;3.018;0
1580788800;3.499;0
1580792400;1.929;0
1580796000;3.358;0
1580799600;3.958;0.02
1580803200;4.069;0.48
1580806800;1.912;0.65
1580810400;1.358;0.97
1580814000;1.967;1.08
1580817600;4.932;1.01
1580821200;2.307;0.43
1580824800;1.417;0.32
1580828400;1.857;0.13
1580832000;4.345;0.01
1580835600;3.402;0
1580839200;3.167;0
1580842800;3.822;0
1580846400;3.452;0
1580850000;2.967;0
1580853600;1.817;0
1580857200;2.113;0
1580860800;3.495;0
1580864400;2.908;0
1580868000;1.666;0
1580871600;1.618;0
1580875200;3.262;0
1580878800;3.275;0
1580882400;2.871;0
1580886000;2.672;0.09
1580889600;3.501;0.38
